#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
999,Nicky Lopez,670032,670032,19339,10301,*041sg*,CHC,2B/SS,2B/SS,Lopez,Nicky,Lopez,Nicky,Nicky Lopez
1000,Matt Festa,670036,670036,19330,10060,*041tl*,CLE,RP,RP,Festa,Matt,Festa,Matt,Matt Festa
1001,Luke Raley,670042,670042,19354,10764,*041ts*,SEA,1B/OF,1B/OF,Raley,Luke,Raley,Luke,Luke Raley
1002,Colin Holderman,670059,670059,22361,11469,*0429k*,PIT,RP,RP,Holderman,Colin,Holderman,Colin,Colin Holderman
1003,Wyatt Mills,670090,670090,20010,11152,,BOS,RP,RP,Mills,Wyatt,Mills,Wyatt,Wyatt Mills
1004,Trenton Brooks,670092,670092,19384,12095,*0420f*,SD,OF,OF,Brooks,Trenton,,,
1005,Zack Short,670097,670097,19562,10776,*0420g*,HOU,2B,2B,Short,Zack,,,
1006,Bowden Francis,670102,670102,20548,11130,*0421k*,TOR,SP,SP,Francis,Bowden,Francis,Bowden,Bowden Francis
1007,Nate Mondou,670148,670148,19563,11580,,SD,2B,2B,Mondou,Nate,,,
1008,Miles Mastrobuoni,670156,670156,20017,10956,*041yi*,SEA,3B,2B/SS/ 3B,Mastrobuoni,Miles,Mastrobuoni,Miles,Miles Mastrobuoni
1009,Parker Dunshee,670161,670161,20018,10862,,WSH,RP,RP,Dunshee,Parker,Dunshee,Parker,Parker Dunshee
1010,John Schreiber,670167,670167,20020,9986,*041z3*,KC,RP,RP,Schreiber,John,Schreiber,John,John Schreiber
1011,Josh Winckowski,670174,670174,22387,11363,*041ze*,BOS,RP,RP,Winckowski,Josh,Winckowski,Josh,Josh Winckowski
1012,Garrett Acton,670183,670183,27583,11759,*05ybh*,TB,RP,RP,Acton,Garrett,Acton,Garrett,Garrett Acton
1013,Matt Mervis,670223,670223,27845,11582,*05ojj*,ARI,1B,1B,Mervis,Matt,Mervis,Matt,Matt Mervis
1014,Kameron Misner,670224,670224,26374,12139,*04y9h*,TB,OF,OF,Misner,Kameron,Misner,Kameron,Kameron Misner
1015,John Rave,670231,670231,26284,12400,*0513s*,KC,OF,OF,Rave,John,Rave,John,John Rave
1016,Darius Vines,670241,670241,25928,11647,*05157*,ATL,SP,SP,Vines,Darius,Vines,Darius,Darius Vines
1017,Matt Wallner,670242,670242,26466,11576,*04o78*,MIN,OF,OF,Wallner,Matt,Wallner,Matt,Matt Wallner
1018,David Bednar,670280,670280,19569,10681,*04aqc*,NYY,RP,RP,Bednar,David,Bednar,David,David Bednar
1019,Rico Garcia,670329,670329,20023,10678,*04rzp*,BAL,RP,RP,Garcia,Rico,Garcia,Rico,Rico Garcia
1020,Jose Rojas,670351,670351,19331,10794,,NYY,OF,OF,Rojas,Jose,,,
1021,Yordan Alvarez,670541,670541,19556,10367,*04355*,HOU,OF,OF,Alvarez,Yordan,Alvarez,Yordan,Yordan Alvarez
1022,Aaron Fossas,670579,670579,,10548,,CIN,P,P,Fossas,Aaron,Fossas,Aaron,
1023,Isaac Paredes,670623,670623,20036,10218,*04071*,HOU,3B,1B/3B,Paredes,Isaac,Paredes,Isaac,Isaac Paredes
1024,Taylor Walls,670764,670764,22458,10955,*04bpj*,TB,SS,SS,Walls,Taylor,Walls,Taylor,Taylor Walls
1025,TJ Friedl,670770,670770,19522,10344,*045gu*,CIN,OF,OF,Friedl,TJ,Friedl,TJ,TJ Friedl
1026,Logan Gillaspie,670810,670810,22461,11380,*05y17*,SD,RP,RP,Gillaspie,Logan,Gillaspie,Logan,Logan Gillaspie
1027,Livan Soto,670869,670869,22471,10275,*04am3*,BAL,SS,SS,Soto,Livan,Soto,Livan,Livan Soto
1028,Yunior Severino,670870,670870,sa3003185,10368,*04ahd*,MIN,2B,2B,Severino,Yunior,Severino,Yunior,
1029,Guillo Zuniga,670871,670871,19588,11737,*04y6o*,SEA,RP,RP,Zuniga,Guillo,Zuñiga,Guillo,Guillo Zuñiga
1030,Johan Oviedo,670912,670912,22487,10892,*04674*,PIT,SP,SP,Oviedo,Johan,Oviedo,Johan,Johan Oviedo
1031,Edwin Uceta,670955,670955,20539,11060,*04tji*,TB,RP,RP,Uceta,Edwin,Uceta,Edwin,Edwin Uceta
1032,Adrian Morejon,670970,670970,20039,10123,*043ia*,SD,RP,RP,Morejon,Adrian,Morejon,Adrian,Adrian Morejon
1033,Yohan Ramirez,670990,670990,19444,10796,*04ddz*,PIT,RP,RP,Ramirez,Yohan,Ramírez,Yohan,Yohan Ramírez
1034,Ivan Herrera,671056,671056,20599,10220,*04hyc*,STL,C,C,Herrera,Ivan,Herrera,Iván,Iván Herrera
1035,Buddy Kennedy,671083,671083,22505,10382,*04egt*,TOR,3B,3B,Kennedy,Buddy,Kennedy,Buddy,Buddy Kennedy
1036,Andrew Abbott,671096,671096,29911,11802,*05jq2*,CIN,SP,SP,Abbott,Andrew,Abbott,Andrew,Andrew Abbott
1037,Logan Allen,671106,671106,27589,11412,*05jp3*,CLE,SP,SP,Allen,Logan,Allen,Logan,Logan Allen
1038,Jake Eder,671109,671109,27590,11238,*05gwt*,WSH,RP,RP,Eder,Jake,Eder,Jake,
1039,Sammy Peralta,671111,671111,25589,11790,,MIL,RP,RP,Peralta,Sammy,Peralta,Sammy,Sammy Peralta
1040,Darren Baker,671117,671117,29912,12174,*05g47*,WSH,2B,2B,Baker,Darren,Baker,Darren,Darren Baker
1041,Jackson Rutledge,671131,671131,26215,10977,*04yte*,WSH,RP,RP,Rutledge,Jackson,Rutledge,Jackson,Jackson Rutledge
1042,Joe Boyle,671212,671212,29608,11868,*05jpk*,TB,SP,SP,Boyle,Joe,Boyle,Joe,Joe Boyle
1043,Triston Casas,671213,671213,22514,10355,*04de1*,BOS,1B,1B,Casas,Triston,Casas,Triston,Triston Casas
1044,Heliot Ramos,671218,671218,22515,10213,*04ee8*,SF,OF,OF,Ramos,Heliot,Ramos,Heliot,Heliot Ramos
1045,Drew Waters,671221,671221,20505,10188,*04eer*,KC,OF,OF,Waters,Drew,Waters,Drew,Drew Waters
1046,Jeisson Rosario,671271,671271,sa3004146,10233,,ATH,OF,OF,Rosario,Jeisson,Rosario,Jeisson,Jeisson Rosario
1047,Luis Garcia,671277,671277,20391,10279,*0414g*,WSH,2B,2B,Garcia,Luis,García,Luis,Luis García Jr.
1048,Tim Elko,671284,671284,31522,12356,*066da*,CHW,1B,1B,Elko,Tim,Elko,Tim,Tim Elko
1049,Johnathan Rodriguez,671286,671286,22530,10247,*04gdw*,CLE,OF,OF,Rodriguez,Johnathan,Rodríguez,Johnathan,Johnathan Rodríguez
1050,Phil Clarke,671287,671287,sa3011379,12065,*0516p*,TOR,C,C,Clarke,Phil,Clarke,Phil,
1051,Tyler Freeman,671289,671289,22532,10356,*04efc*,COL,2B/OF,2B/SS/ OF,Freeman,Tyler,Freeman,Tyler,Tyler Freeman
1052,Michel Otanez,671305,671305,22533,12102,*057p2*,ATH,RP,RP,Otanez,Michel,Otañez,Michel,Michel Otañez
